Course,Book,Chapter,Author,Summary
Introduction to cognitive science,Students guide to neuroscience,The social and emotional brain,Ward J.,"Although there are many different theories of emotion (some in vogue, some rejected), there are a core set of ideas concerning emotions that have stood the test of time. This includes the idea that emotions have an evolved adaptive value, and this is largely conserved across species. It also includes the notion that emotions are multi-faceted: they contain both conscious (at least in humans) and unconscious processes; they involve the interplay of brain and body via the autonomic system (although emotions cannot be reduced to bodily sensations) and that (at least in humans) some emotions are constructed from both affective mechanisms and cognitive ones (e.g. appraisal). A good example of the latter is the so-called moral emotions (e.g. guilt, pride). Contemporary theories emphasize categorical distinctions between emotions (such as anger, fear sadness) but differ with regards to whether these categories represent natural kinds (i.e. innately specified categorical differences, as in the basic emotion approach) or are themselves constructed from different combinations of building blocks of other kinds of core processes (e.g. reward/punishment, pleasure, arousal, appraisals)."
Introduction to cognitive science,Students guide to neuroscience,The social and emotional brain,Ward J.,"This section has outlined a set of regions that are critically involved in the processing of emotions. In social animals, such as humans, these emotional brain regions play a key role in evaluating and judging social stimuli. For instance, the amygdala is not only implicated in evaluating whether a tone will lead to a shock, but also in evaluating whether another person is afraid; the anterior cingulate responds not only to physical pain but also responds to social pain relating to separation and social exclusion; and the nucleus accumbens responds not only to basic rewards (food, sex) but also responds when we opt to cooperate with another person. The different regions of the emotional brain serve different functions, and this is at odds with earlier theories of emotion (e.g. the Papez circuit and Maclean’s “limbic brain”). However, there is not a simple one-to-one mapping between brain structure and emotional category (e.g. amygdala = fear, insula = disgust) as predicted by a strong version of the “basic emotion” approach. Of course, “basic emotions” could still be said to exist at the level of brain circuits connecting specialized sub-regions and the best documented examples in the literature are fear and disgust. Other contemporary theories postulate the notion of “core affect” which consists of perceived internal body states and organized around the dimensions of intensity and pleasantness (Feldman Barrett, 2006). While there are brain regions that appear to have these characteristics (e.g. the amygdala shows some evidence of tracking intensity) on closer inspection their functioning is far more complex (e.g. the evidence that the amygdala has somewhat different roles in fear versus reward conditioning). Finally, almost all contemporary theories of emotion allow for a role of ""cognition"" by which is meant thoughts and beliefs, appraisals, control mechanisms and the like. This is supported by the neuroscience evidence but stands in contrast to some earlier views that emotion was somehow distinct from cognition (for a summary see Phelps, 2006). An emotion is best regarded as a complex affective state in which cognitions are intrinsically embedded rather than standing apart."
Introduction to cognitive science,Cognitive psychology and its implications,Perception,Anderson J. R.,"This chapter discusses how neurons process sensory information and deliver it to higher centers in the brain, and how the information is then processed and combined with contextual information to perceive and recognize objects. Figure 2.31 depicts the overall flow of information processing in the case of vision perception. Perception begins with light energy from the external environment. Receptors, such as those in the retina, transform this energy into neural information. Early sensory processing makes initial sense of the information by extracting features to yield what Marr (1982) called a primal sketch. These features are combined with depth information to get a representation of the location of surfaces in space; this is Marr’s 2½-D sketch. The gestalt principles of organization are applied to segment the elements in the 2½-D sketch into objects; this is Marr’s 3-D model. Finally, information about the features of these objects and general context information are combined to recognize the objects. The output of this last level is a representation of the objects and their locations in the environment, and this is what we are consciously aware of in perception. This information is then input to higher-level cognitive processes. Figure 2.31 illustrates an important point: A great deal of information processing must take place before we are consciously aware of the objects we are perceiving."
Introduction to cognitive science,Cognitive psychology and its implications,Attention and Performance,Anderson J. R.,"There has been a gradual shift in the way cognitive psychology perceives the issue of attention. For a long time, the implicit assumption was captured by this famous quote from William James (1890, pp. 403–404) over a century ago: Everyone knows what attention is. It is the taking possession by the mind, in a clear and vivid form, of one out of what seem several simultaneously possible objects or trains of thought. Focalization, concentration of consciousness are of its essence. It implies withdrawal from some things in order to deal effectively with others. Two features of this quote reflect conceptions once held about attention. The first is that attention is strongly related to consciousness — we cannot attend to something unless we are conscious of it. The second is that attention, like consciousness, is a unitary system. More and more, cognitive psychology is beginning to recognize that attention also operates at an unconscious level. For instance, people often are not conscious of where they have moved their eyes. Along with this recognition has come the realization that attention is multifaceted (e.g., Chun, Golumb, & Turk-Browne, 2011). We have seen that it makes sense to separate auditory attention from visual attention and to distinguish between attention in perceptual processing, attention in executive control, and attention in response generation. The brain consists of a number of parallel processing systems for the various perceptual systems, for motor systems, and for central cognition. Each of these parallel systems seems to suffer bottlenecks — points at which it must focus its processing on a single thing. Attention is best conceived as the processes by which each of these systems is allocated to potentially competing information-processing demands. The amount of interference that occurs among tasks making demands on the same system is a function of the overlap in timing among those demands."
Introduction to cognitive science,Cognitive psychology and its implications,Mental Imagery,Anderson J. R.,"This chapter has reviewed some of the evidence that the brain regions involved in visual perception are also involved in visual imagery. Such research has presumably put to rest the question raised at the beginning of the chapter about whether visual imagery really has a perceptual character. However, although it seems clear that perceptual processes are involved in visual imagery to some degree, the degree to which the mechanisms of visual imagery are the same as the mechanisms of visual perception remains an open question. Evidence for a substantial overlap comes from neuropsychological patient studies (see Bartolomeo, 2002, for a review). Many patients who have cortical damage leading to blindness have corresponding deficits in visual imagery. As Behrmann (2000) notes, the correspondences between perception and imagery can be quite striking. For instance, there are patients who are not able to perceive or image faces and colors, but are otherwise unimpaired in either perception or imagery. Nonetheless, there also exist cases of patients who suffer perceptual problems but have intact visual imagery, and vice versa. Behrmann argues that visual perception and visual imagery are best understood as two processes that overlap but are not identical, as illustrated in Figure 4.22. Perceiving a kangaroo requires low-level visual information processing that is not required for visual imagery. Similarly, forming a mental image of a kangaroo requires high-level generation processes that are not required by perception. Behrmann suggests that patients who suffer only perceptual losses have damage to the low-level part of this system, and patients who suffer only imagery losses have damage to the high-level part of this system."
Introduction to cognitive science,Cognitive psychology and its implications,Representation of Knowledge,Anderson J. R.,"Estimates of the storage capacity (e.g., Moll & Miikkulainen, 1997; Treves & Rolls, 1994) of the brain differ substantially, but they are all many orders of magnitude less than what would be required to store a faithful video recording of our whole life. This chapter has reviewed studies of what we retain and what we forget — for instance, for Figure 5.5, what subject was being taught, but not what the teacher was wearing; or for Figure 5.14, that the room was an office, but not what was in the office. The chapter also reviewed three perspectives on the basis for this selective memory. 1. The multimodal hypothesis (Figure 5.12 left), which proposes that we select important aspects of our experience to remember and often convert meanings from one modality to another. For instance, we may describe a room (visual) as an “office” (verbal). 2. The amodal hypothesis (Figure 5.12 right), which proposes that we convert our experience into some abstract representation that just encodes what is important. For instance, the chapter discussed how propositions captured the connections among the concepts in our understanding of a sentence. 3. Theories proposing that we remember our experiences in terms of the categories that they seem to exemplify. We discussed a varied set of such category representations: semantic networks, schemas, scripts, exemplar, prototype, and rule based. These hypotheses are not mutually exclusive, and cognitive scientists are actively engaged in trying to understand when a particular kind of knowledge representation is used to encode experience."
Introduction to cognitive science,Cognitive psychology and its implications,Human Memory: Encoding and Storage,Anderson J. R.,"This chapter has focused on the processes involved in getting information into memory. We saw that a great deal of information gets registered in sensory memory, but relatively little can be maintained in short-term or working memory and even less survives for long periods of time. However, an analysis of what actually gets stored in long-term memory really needs to consider how that information is retained and retrieved — which is the topic of the next chapter. Many of the issues considered in this chapter are complicated by retrieval issues. This is certainly true for the effects of elaborative processing that we have just discussed. There are important interactions between how a memory is processed at study and how it is processed at test. Even in this chapter, we were not able to discuss the effects of such factors as practice without discussing the activation-based retrieval processes that are facilitated by these factors. Chapter 7 will also have more to say about the activation of memories."
Introduction to cognitive science,Cognitive psychology and its implications,Human Memory: Retention and Retrieval,Anderson J. R.,"Figure 7.17 shows the different types and subtypes of memory proposed by Squire (1987). The major distinction in his classification is between explicit memory and implicit memory, which he calls declarative memory and nondeclarative memory. It appears that the hippocampus is particularly important for the establishment of declarative memories. Within the declarative memory system, there is a distinction between episodic and semantic memory. Episodic memories include information about where and when they were acquired. For example, a memory of a particular newscast can be considered an episodic memory. This chapter and Chapter 6 have discussed these kinds of memories. Semantic memories, discussed in Chapter 5, reflect general knowledge of the world, such as what a dog is or what a restaurant is. Figure 7.17 makes it clear that there are many kinds of nondeclarative, or implicit, memories. We have just completed a discussion of procedural memories and the critical role of the basal ganglia and cerebellum in their formation. We also talked about priming and the fact that priming seems to entail changes to cortical regions directly responsible for processing the information involved. There are other kinds of learning that we have not discussed but that are particularly important in studies of animal learning. These include conditioning and the two types of memory labeled nonassociative in Figure 7.17, habituation and sensitization, all of which have been demonstrated in species ranging from sea slugs to humans. Evidence suggests that conditioning in mammals involves many different brain structures (Anderson, 2000), as do many other types of learning, with different brain structures supporting different kinds of learning."
Introduction to cognitive science,Cognitive psychology and its implications,Problem Solving,Anderson J. R.,"This chapter has been built around the Newell and Simon model of problem solving as a search through a state space defined by operators. We have looked at problem-solving success as determined by the operators available and the methods used to guide the search for operators. This analysis is particularly appropriate for first-time problems, whether a chimpanzee’s quandary (see Figure 8.2) or a human’s predicament when shown a Tower of Hanoi problem for the first time (see Figure 8.10). The next chapter will focus on the other factors that come into play after repeated practice at problem solving."
Introduction to cognitive science,Cognitive psychology and its implications,Expertise,Anderson J. R.,"This chapter began by noting the remarkable ability of humans to acquire the complexities of culture and technology. In fact, in today’s world people routinely acquire whole new sets of skills over their lifetimes. For instance, I now use my phone for instant messaging, GPS navigation, and surfing the Web — functions that I could not have imagined when I was a young man, let alone associated with a phone. This chapter has emphasized the role of practice in acquiring such skills, and certainly it has taken me some considerable practice to master them. However, human flexibility depends on more than time on task — other creatures could never acquire such skills. Critical to human expertise are the higher-order problem-solving skills that we reviewed in Chapter 8. Also critical is our human ability to reason, make decisions, and communicate by language. These are the topics of the forthcoming chapters."
