eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,abstract,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor,Course,Book
2-s2.0-0033084649,10.1162/106454699568700,,10633572,A brief history of stigmergy,re,Review,Theraulaz G.,60030961;60008134,Santa Fe Institute;CNRS Centre National de la Recherche Scientifique,Santa Fe;Paris,United States;France,2,"Theraulaz, Guy;Bonabeau, Eric",7004591018;7007183722,60008134;60030961,1999-01-01,1999,Artificial Life,10645462,24142,,Journal,5,2,,97-116,Stigmergy is a class of mechanisms that mediate animal-animal interactions. Its introduction in 1959 by Pierre-Paul Grassé made it possible to explain what had been until then considered paradoxical observations: In an insect society individuals work as if they were alone while their collective activities appear to be coordinated. In this article we describe the history of stigmergy in the context of social insects and discuss the general properties of two distinct stigmergic mechanisms: quantitative stigmergy and qualitative stigmergy. © 1999 Massachusetts Institute of Technology.,Coordination | Self-assembling | Self-organization | Social insects | Stigmergy,455.0,0.0,,,,undefined,,Social and Cultural dynamics,
2-s2.0-85002194651,10.1016/j.janxdis.2016.11.008,S0887618516302419,27936411,A network analysis of DSM-5 posttraumatic stress disorder symptoms and correlates in U.S. military veterans,ar,Article,Armour C.,60025063;60023695;60020730;60017994;60002483,KU Leuven;U.S. Department of Veterans Affairs;Ulster University;Yale School of Medicine;Universiteit van Amsterdam,"Leuven;Washington, D.C.;Coleraine;New Haven;Amsterdam",Belgium;United States;United Kingdom;United States;Netherlands,5,"Armour, Cherie;Fried, Eiko I.;Deserno, Marie K.;Tsai, Jack;Pietrzak, Robert H.",35072405300;55939435800;56811040000;35590808700;34572624000,60020730;60025063;60002483;60017994-60023695;60017994-60023695,2017-01-01,1 January 2017,Journal of Anxiety Disorders,08876185,15375,18737897,Journal,45,,,49-59,"Objective Recent developments in psychometrics enable the application of network models to analyze psychological disorders, such as PTSD. Instead of understanding symptoms as indicators of an underlying common cause, this approach suggests symptoms co-occur in syndromes due to causal interactions. The current study has two goals: (1) examine the network structure among the 20 DSM-5 PTSD symptoms, and (2) incorporate clinically relevant variables to the network to investigate whether PTSD symptoms exhibit differential relationships with suicidal ideation, depression, anxiety, physical functioning/quality of life (QoL), mental functioning/QoL, age, and sex. Method We utilized a nationally representative U.S. military veteran's sample; and analyzed the data from a subsample of 221 veterans who reported clinically significant DSM-5 PTSD symptoms. Networks were estimated using state-of-the-art regularized partial correlation models. Data and code are published along with the paper. Results The 20-item DSM-5 PTSD network revealed that symptoms were positively connected within the network. Especially strong connections emerged between nightmares and flashbacks; blame of self or others and negative trauma-related emotions, detachment and restricted affect; and hypervigilance and exaggerated startle response. The most central symptoms were negative trauma-related emotions, flashbacks, detachment, and physiological cue reactivity. Incorporation of clinically relevant covariates into the network revealed paths between self-destructive behavior and suicidal ideation; concentration difficulties and anxiety, depression, and mental QoL; and depression and restricted affect. Conclusion These results demonstrate the utility of a network approach in modeling the structure of DSM-5 PTSD symptoms, and suggest differential associations between specific DSM-5 PTSD symptoms and clinical outcomes in trauma survivors. Implications of these results for informing the assessment and treatment of this disorder, are discussed.",Depression | DSM-5 | Functioning | Network analysis | PTSD | Quality of life (QoL) | Suicide | Veterans,217.0,0.0,repositoryam,Green,ERC,647209,European Research Council,Social and Cultural dynamics,
2-s2.0-0001350108,10.1257/jep.11.1.127,,,An Introduction to Applicable Game Theory,ar,Article,Gibbons R.,60116635;60020337,Cornell SC Johnson College of Business;National Bureau of Economic Research,Ithaca;Cambridge,United States;United States,1,"Gibbons, Robert",55712350600,60116635-60020337,1997-01-01,Winter 1997,Journal of Economic Perspectives,08953309,28980,,Journal,11,1,,127-149,,,117.0,1.0,repositoryam,Green,,undefined,,Social and Cultural dynamics,
2-s2.0-85067660019,10.1080/00273171.2019.1614898,,31179765,Bridge Centrality: A Network Approach to Understanding Comorbidity,ar,Article,Jones P.J.,60014171;60006303,University of Waterloo;Harvard Faculty of Arts and Sciences,Waterloo;Cambridge,Canada;United States,3,"Jones, Payton J.;Ma, Ruofan;McNally, Richard J.",57195291140;57209417583;7102581294,60006303;60014171;60006303,2021-01-01,2021,Multivariate Behavioral Research,00273171,12711,,Journal,56,2,,353-367,"Recently, researchers in clinical psychology have endeavored to create network models of the relationships between symptoms, both within and across mental disorders. Symptoms that connect two mental disorders are called ""bridge symptoms."" Unfortunately, no formal quantitative methods for identifying these bridge symptoms exist. Accordingly, we developed four network statistics to identify bridge symptoms: bridge strength, bridge betweenness, bridge closeness, and bridge expected influence. These statistics are nonspecific to the type of network estimated, making them potentially useful in individual-level psychometric networks, group-level psychometric networks, and networks outside the field of psychopathology such as social networks. We first tested the fidelity of our statistics in predicting bridge nodes in a series of simulations. Averaged across all conditions, the statistics achieved a sensitivity of 92.7% and a specificity of 84.9%. By simulating datasets of varying sample sizes, we tested the robustness of our statistics, confirming their suitability for network psychometrics. Furthermore, we simulated the contagion of one mental disorder to another, showing that deactivating bridge nodes prevents the spread of comorbidity (i.e., one disorder activating another). Eliminating nodes based on bridge statistics was more effective than eliminating nodes high on traditional centrality statistics in preventing comorbidity. Finally, we applied our algorithms to 18 group-level empirical comorbidity networks from published studies and discussed the implications of this analysis.",bridge nodes | comorbidity | Graph theory | network analysis | node centrality linear models | psychopathology,474.0,0.0,,,,undefined,,Social and Cultural dynamics,
2-s2.0-0032482432,10.1038/30918,,9623998,Collective dynamics of 'small-world9 networks,ar,Article,Watts D.J.,60007776,Cornell University,Ithaca,United States,2,"Watts, Duncan J.;Strogatz, Steven H.",7201539502;7004197013,60007776;60007776,1998-06-04,4 June 1998,Nature,00280836,21206,,Journal,393,6684,,440-442,"Networks of coupled dynamical systems have been used to model biological oscillators 1-4, Josephson junction arrays5,6, excitable media7, neural networks8-10, spatial games"", genetic control networks12 and many other self-organizing systems. Ordinarily, the connection topology is assumed to be either completely regular or completely random. But many biological, technological and social networks lie somewhere between these two extremes. Here we explore simple models of networks that can be tuned through this middle ground: regular networks 'rewired' to introduce increasing amounts of disorder. We find that these systems can be highly clustered, like regular lattices, yet have small characteristic path lengths, like random graphs. We call them 'small-world' networks, by analogy with the small-world phenomenon13'14 (popularly known as six degrees of separation15). The neural network of the worm Caenorhabditis elegans, the power grid of the western United States, and the collaboration graph of film actors are shown to be small-world networks. Models of dynamical systems with small-world coupling display enhanced signal-propagation speed, computational power, and synchronizability. In particular, infectious diseases spread more easily in small-world networks than in regular lattices.",,32982.0,0.0,,,,undefined,,Social and Cultural dynamics,
2-s2.0-67650907147,10.1111/j.1756-8765.2009.01028.x,,25164997,"Collective information processing and pattern formation in swarms, flocks, and crowds",ar,Article,Moussaid M.,60102124;60025858,Université de Toulouse;ETH Zürich,Toulouse;Zurich,France;Switzerland,4,"Moussaid, Mehdi;Garnier, Simon;Theraulaz, Guy;Helbing, Dirk",26028667700;13006090300;7004591018;7005232363,60025858-60102124;60102124;60102124;60025858,2009-07-01,July 2009,Topics in Cognitive Science,17568757,19900191735,17568765,Journal,1,3,,469-497,"The spontaneous organization of collective activities in animal groups and societies has attracted a considerable amount of attention over the last decade. This kind of coordination often permits group-living species to achieve collective tasks that are far beyond single individuals' capabilities. In particular, a key benefit lies in the integration of partial knowledge of the environment at the collective level. In this contribution, we discuss various self-organization phenomena in animal swarms and human crowds from the point of view of information exchange among individuals. In particular, we provide a general description of collective dynamics across species and introduce a classification of these dynamics not only with respect to the way information is transferred among individuals but also with regard to the knowledge processing at the collective level. Finally, we highlight the fact that the individual's ability to learn from past experiences can have a feedback effect on the collective dynamics, as experienced with the development of behavioral conventions in pedestrian crowds. © 2009 Cognitive Science Society, Inc.",Collective behaviors | Distributed cognition | Information transfer | Living beings | Self-organization | Social interactions,156.0,1.0,repositoryam,Green,,undefined,,Social and Cultural dynamics,
2-s2.0-0037062448,10.1073/pnas.122653799,,12060727,Community structure in social and biological networks,ar,Article,Girvan M.,60030961;60025778;60007776,"Santa Fe Institute;University of Michigan, Ann Arbor;Cornell University",Santa Fe;Ann Arbor;Ithaca,United States;United States;United States,2,"Girvan, M.;Newman, M. E.J.",25624233200;7401940367,60030961-60007776;60030961-60025778,2002-06-11,11 June 2002,Proceedings of the National Academy of Sciences of the United States of America,00278424,21121,,Journal,99,12,,7821-7826,"A number of recent studies have focused on the statistical properties of networked systems such as social networks and the Worldwide Web. Researchers have concentrated particularly on a few properties that seem to be common to many networks: the small-world property, power-law degree distributions, and network transitivity. In this article, we highlight another property that is found in many networks, the property of community structure, in which network nodes are joined together in tightly knit groups, between which there are only looser connections. We propose a method for detecting such communities, built around the idea of using centrality indices to find community boundaries. We test our method on computer-generated and real-world graphs whose community structure is already known and find that the method detects this known structure with high sensitivity and reliability. We also apply the method to two networks whose community structure is not well known-a collaboration network and a food web-and find that it detects significant and informative community divisions in both cases.",,11854.0,0.0,repositoryam,Green,MPS,0109086,Directorate for Mathematical and Physical Sciences,Social and Cultural dynamics,
2-s2.0-85006184913,10.3390/fi8030031,,,Conflict and computation on Wikipedia: A finite-state machine analysis of editor interactions,ar,Article,DeDeo S.,60030961;60021121;60010875;114860755,"Santa Fe Institute;Indiana University Bloomington;Luddy School of Informatics, Computing, and Engineering;The Vincent and Elinor Ostrom Workshop in Political Theory and Policy Analysis",Santa Fe;Bloomington;Bloomington;Bloomington,United States;United States;United States;United States,1,"DeDeo, Simon",6603225099,60010875-60021121-114860755-60030961,2016-09-01,September 2016,Future Internet,,21100409311,19995903,Journal,8,3,31,,"What is the boundary between a vigorous argument and a breakdown of relations? What drives a group of individuals across it? Taking Wikipedia as a test case, we use a hidden Markov model to approximate the computational structure and social grammar of more than a decade of cooperation and conflict among its editors. Across a wide range of pages, we discover a bursty war/peace structure where the systems can become trapped, sometimes for months, in a computational subspace associated with significantly higher levels of conflict-tracking ""revert"" actions. Distinct patterns of behavior characterize the lower-conflict subspace, including tit-for-tat reversion. While a fraction of the transitions between these subspaces are associated with top-down actions taken by administrators, the effects are weak. Surprisingly, we find no statistical signal that transitions are associated with the appearance of particularly anti-social users, and only weak association with significant news events outside the system. These findings are consistent with transitions being driven by decentralized processes with no clear locus of control. Models of belief revision in the presence of a common resource for information-sharing predict the existence of two distinct phases: a disordered high-conflict phase, and a frozen phase with spontaneously-broken symmetry. The bistability we observe empirically may be a consequence of editor turn-over, which drives the system to a critical point between them.",Conflict | Cooperation | Critical transition | Finite-state machine | Hidden markov model | Knowledge commons | Memory | Social norms | Tit-for-tat | Wikipedia,11.0,1.0,repositoryam,Green,BIO,1137929,Directorate for Biological Sciences,Social and Cultural dynamics,
2-s2.0-0030845717,10.1111/j.1439-0310.1997.tb00123.x,,,Conspecific and heterospecific attraction: A mechanism of web-site selection leading to aggregation formation by web-building spiders,ar,Article,Hodge M.A.,60007957,The College of Wooster,Wooster,United States,2,"Hodge, Margaret A.;Storfer-Isser, Amy",7005303593;6508186338,60007957;60007957,1997-01-01,October 1997,Ethology,01791613,21489,,Journal,103,10,,815-826,"This study investigated whether conspecific and/or heterospecific attraction to silk is a mechanism of web-site selection leading to aggregation formation by two species of web-building spiders, Hypochilus thorelli Marx (Araneae: Hypochilidae) and Achaearanea lepidariorum (C.L. Koch) (Araneae: Theridiidae). We determined that the spatial distribution of these two spiders was clumped and that H. thorelli had a greater tendency to aggregate than did A. tepidariorum. To determine the mechanism responsible for this spatial pattern, we conducted three field experiments. We examined web-site selection by H. thorelli in three contexts: no spiders or webs present (cue removed), vacant webs present, and occupied webs present. In the case where no webs were present, there was no tendency for spiders to choose previously occupied sites as web sites. When vacant webs were present, spiders chose to occupy the vacant webs. When occupied webs were present, spiders either invaded webs and evicted the owners, or settled adjacent to and attached their webs to those of residents. Various microhabitat variables (height, angle, temperature, humidity, and substrate character of the rock surface) of randomly selected unoccupied sites and the web sites chosen by spiders were compared. There were no detectable differences between web sites and unoccupied sites with respect to any of the variables measured. This leads us to conclude that web-site choice by immigrating spiders was based on the presence of silk rather than other features of the site.",,40.0,0.0,,,,undefined,,Social and Cultural dynamics,
2-s2.0-85026636701,10.1371/journal.pone.0182133,,28767668,Creative foraging: An experimental paradigm for studying exploration and discovery,ar,Article,Hart Y.,60077572;60017563;60007903,Harvard John A. Paulson School of Engineering and Applied Sciences;Weizmann Institute of Science Israel;Hebrew University of Jerusalem,Cambridge;Rehovot;Jerusalem,United States;Israel;Israel,7,"Hart, Yuval;Mayo, Avraham E.;Mayo, Ruth;Rozenkrantz, Liron;Tendler, Avichai;Alon, Uri;Noy, Lior",36542491600;7004426436;7006108853;36716979600;56513979300;35239724400;25028435400,60017563-60077572;60017563;60007903;60017563;60017563;60017563;60017563,2017-08-01,August 2017,PLoS ONE,,10600153309,19326203,Journal,12,8,e0182133,,"Creative exploration is central to science, art and cognitive development. However, research on creative exploration is limited by a lack of high-resolution automated paradigms. To address this, we present such an automated paradigm, the creative foraging game, in which people search for novel and valuable solutions in a large and well-defined space made of all possible shapes made of ten connected squares. Players discovered shape categories such as digits, letters, and airplanes as well as more abstract categories. They exploited each category, then dropped it to explore once again, and so on. Aligned with a prediction of optimal foraging theory (OFT), during exploration phases, people moved along meandering paths that are about three times longer than the shortest paths between shapes; when exploiting a category of related shapes, they moved along the shortest paths. The moment of discovery of a new category was usually done at a non-prototypical and ambiguous shape, which can serve as an experimental proxy for creative leaps. People showed individual differences in their search patterns, along a continuum between two strategies: a mercurial quick-to-discover/quick-to-drop strategy and a thorough slow-to-discover/slow-to-drop strategy. Contrary to optimal foraging theory, players leave exploitation to explore again far before categories are depleted. This paradigm opens the way for automated high-resolution study of creative exploration.",,31.0,1.0,repositoryam,Green,,undefined,Weizmann Institute of Science,Social and Cultural dynamics,
