doi,title,author,abstract
10.2307/2786545,An Experimental Study of the Small World Problem,Travers J.,"Arbitrarily selected individuals (N=296) in Nebraska and Boston are asked to generate acquaintance chains to a target person in Massachusetts, employing ""the small world method"" (Milgram, 1967). Sixty-four chains reach the target person. Within this group the mean number of intermediaries between starters and targets is 5.2. Boston starting chains reach the target person with fewer intermediaries than those starting in Nebraska; subpopulations in the Nebraska group do not differ among themselves. The funneling of chains through sociometric ""stars"" is noted, with 48 per cent of the chains passing through three persons before reaching the target. Applications of the method to studies of large scale social structure are discussed."
10.1086/jar.33.4.3629752,An Information Flow Model for Conflict and Fission in Small Groups,Zachary W.,"Data from a voluntary association are used to construct a new formal model for a traditional anthropological problem, fission in small groups. The process leading to fission is viewed as an unequal flow of sentiments and information across the ties in a social network. This flow is unequal because it is uniquely constrained by the contextual range and sensitivity of each relationship in the network. The subsequent differential sharing of sentiments leads to the formation of subgroups with more internal stability than the group as a whole, and results in fission. The Ford-Fulkerson labeling algorithm allows an accurate prediction of membership in the subgroups and of the locus of the fission to be made from measurements of the potential for information flow across each edge in the network. Methods for measurement of potential information flow are discussed, and it is shown that all appropriate techniques will generate the same predictions."
10.48550/ARXIV.2210.03216,Beyond the shortest path: the path length index as a distribution,Santos L.,"The traditional complex network approach considers only the shortest paths from one node to another, not taking into account several other possible paths. This limitation is significant, for example, in urban mobility studies. In this short report, as the first steps, we present an exhaustive approach to address that problem and show we can go beyond the shortest path, but we do not need to go so far: we present an interactive procedure and an early stop possibility. After presenting some fundamental concepts in graph theory, we presented an analytical solution for the problem of counting the number of possible paths between two nodes in complete graphs, and a depth-limited approach to get all possible paths between each pair of nodes in a general graph (an NP-hard problem). We do not collapse the distribution of path lengths between a pair of nodes into a scalar number, we look at the distribution itself - taking all paths up to a pre-defined path length (considering a truncated distribution), and show the impact of that approach on the most straightforward distance-based graph index: the walk/path length."
10.48550/ARXIV.2110.01866,Social physics,Jusup M.,"Recent decades have seen a rise in the use of physics methods to study different societal phenomena. This development has been due to physicists venturing outside of their traditional domains of interest, but also due to scientists from other disciplines taking from physics the methods that have proven so successful throughout the 19th and the 20th century. Here we dub this field 'social physics' and pay our respect to intellectual mavericks who nurtured it to maturity. We do so by reviewing the current state of the art. Starting with a set of topics that are at the heart of modern human societies, we review research dedicated to urban development and traffic, the functioning of financial markets, cooperation as the basis for our evolutionary success, the structure of social networks, and the integration of intelligent machines into these networks. We then shift our attention to a set of topics that explore potential threats to society. These include criminal behaviour, large-scale migrations, epidemics, environmental challenges, and climate change. We end the coverage of each topic with promising directions for future research. Based on this, we conclude that the future for social physics is bright. Physicists studying societal phenomena are no longer a curiosity, but rather a force to be reckoned with. Notwithstanding, it remains of the utmost importance that we continue to foster constructive dialogue and mutual respect at the interfaces of different scientific disciplines."
10.31234/osf.io/n3t6j,The effect of diversity and social interaction on cognitive search: An agent-based simulation,Rocca R.,"Cognitive search, commonly conceptualized as information foraging through mental spaces, is the foundation of many daily tasks. Cognitive search in real-world contexts is often performed jointly. Yet, the way social interaction impacts cognitive search mechanisms and outcomes is understudied. Over three agent-based simulations, we investigated how social interaction modulates performance in cognitive search, focusing on two fundamental parameters: agents’ cognitive diversity and properties of their interaction. In Experiment 1, agents took turns in naming animals following a strict turn-taking protocol. We observed that moderate levels of diversity were beneficial to performance and induced more exploratory search behavior, but performance dropped dramatically at the highest levels of diversity. In Experiment 2, these detrimental effects of high diversity were mitigated by allowing agents to follow other and more flexible interaction protocols, which induced different and more efficient search strategies. In Experiment 3, we observed that endowing agents with more flexible cognitive systems (working memory) also had a positive impact on their performance. With this work, we provide new insights into how cognitive diversity and social interaction shape performance in joint cognitive search, and we present an innovative, flexible, and controllable computational paradigm to study emergent and mechanistic aspects of joint cognitive search."
10.1101/162313,The Evolution of Fair Offers with Low Rejection Thresholds in the Ultimatum Game,Schrank J.,"The ultimatum game (UG) is widely used in economic and anthropological research to investigate fairness by how one player proposes to divide a resource with a second player who can reject the offer. In these contexts, fairness is understood as offers that are more generous than predicted by the subgame perfect Nash equilibrium (SPNE). A surprising and robust result of UG experiments is that proposers offer much more than the SPNE. These results have spawned many models aimed at explaining why players do not conform to the SPNE by showing how Nash equilibrium strategies can evolve far from the SPNE. However, empirical data from UG experiments indicate that players do not use Nash equilibrium strategies, but rather make generous offers while rejecting only very low offers. To better understand why people behave this way, we developed an agent-based model to investigate how generous strategies could evolve in the UG. Using agents with generic biological properties, we found that fair offers can readily evolve in structured populations even while rejection thresholds remain relatively low. We explain the evolution of fairness as a problem of the efficient conversion of resources into the production of offspring at the level of the group. Significance Statement Human generosity is widespread and far exceeds that of other social animals. Generosity is often studied experimentally with the ultimatum game, in which a proposer offers a split and a responder can either accept it or cancel the whole deal. A surprising result of ultimatum game experiments is that players are much more generous than predicted while only rejecting very low offers. This has presented a theoretical puzzle, since mathematical models have generally relied on high rejection levels—just below offer levels—to maintain generosity. Using evolutionary simulations, we explain both generous offers and the rejection of only low offers as a solution to the problem of how groups can efficiently convert resources into the production of offspring."
10.1086/225469,The Strength of Weak Ties,Granovetter M.,"Analysis of social networks is suggested as a tool for linking micro and macro levels of sociological theory. The procedure is illustrated by elaboration of the macro implications of one aspect of small-scale interaction: the strength of dyadic ties. It is argued that the degree of overlap of two individuals' friendship networks varies directly with the strength of their tie to one another. The impact of this principle on diffusion of influence and information, mobility opportunity, and community organization is explored. Stress is laid on the cohesive power of weak ties. Most network models deal, implicitly, with strong ties, thus confining their applicability to small, well-defined groups. Emphasis on weak ties lends itself to discussion of relations between groups and to analysis of segments of social structure not easily defined in terms of primary groups."
10.1016/j.bandc.2005.11.00,Understanding the effects of moving visual stimuli on unilateral neglect following stroke,Plummer P.,"Moving visual stimuli have been shown to reduce unilateral neglect (ULN), however, the mechanisms underlying these effects remain poorly understood. This study compared lateralised and non-lateralised moving visual stimuli to investigate whether the spatial characteristics or general alerting properties of moving visual stimuli are responsible for reducing neglect. Post-stroke left neglect patients as well as healthy and patient control subjects were tested on a computerised line bisection task under six visual stimulus conditions. The key finding was that, relative to the no stimulus condition, leftward moving and left-sided moving visual stimuli shifted neglect patients’ bisection errors leftward while the non-lateralised random moving visual stimuli did not reduce neglect patients’ rightward bisection errors. The results provide evidence that spatial characteristics rather than general alerting properties of moving visual stimuli reduce rightward bisection errors in ULN. Moreover, the pattern of findings strongly supports the notion that moving visual stimuli reduce neglect by capturing attention and drawing it to a spatial location rather than by activating the attentional system via superior collicular neurons."
10.1016/j.neuroimage.2011.06.07,Neural correlates of training-related working-memory gains in old age,Brehmer Y.,"Working memory (WM) functioning declines in old age. Due to its impact on many higher-order cognitive functions, investigating whether training can modify WM performance has recently been of great interest. We examined the relationship between behavioral performance and neural activity following five weeks of intensive WM training in 23 healthy older adults (M = 63.7 years). 12 participants received adaptive training (i.e. individually adjusted task difficulty to bring individuals to their performance maximum), whereas the others served as active controls (i.e. fixed low-level practice). Brain activity was measured before and after training, using fMRI, while subjects performed a WM task under two difficulty conditions. Although there were no training-related changes in WM during scanning, neocortical brain activity decreased post training and these decreases were larger in the adaptive training group than in the controls under high WM load. This pattern suggests intervention-related increases in neural efficiency. Further, there were disproportionate gains in the adaptive training group in trained as well as in non-trained (i.e. attention, episodic memory) tasks assessed outside the scanner, indicating the efficacy of the training regimen. Critically, the degree of training-related changes in brain activity (i.e. neocortical decreases and subcortical increases) was related to the maximum gain score achieved during the intervention period. This relationship suggests that the decreased activity, but also specific activity increases, observed were functionally relevant."
10.4324/9781315672236,Foundations of Sensation and Perception,Mather G.,"Perception involves highly complex neural processes that consume a substantial proportion of the brain’s cerebral cortex. Sensation, Perception, and Sensory Modality Sensations (also known as qualia) are primitive mental states or experiences induced by sensory stimulation. Perceptions are complex, organized, and meaningful experiences of objects or events. Qualia can be divided into seven distinct sensory modalities: audition, gustation, nociception, olfaction, somatosensation, the vestibular sense, and vision. The modalities differ in terms of the physical stimuli that excite them, the neural structures involved in transduction and sensory analysis, and the functions they serve. In humans, a much greater area of cortex is devoted to vision than to the other senses. The three key elements of perception are: Stimuli Neural responses Perceptions Stimuli generate neural responses which in turn lead to perceptual experiences. Psychophysics studies the relation between stimuli and perceptual experience, while neuroscience studies the relation between stimuli and neural responses. Psychophysical linking hypotheses propose specific links between perception and neural responses, as part of theories in computational neuroscience. Psychophysics Psychophysical methods to study perception were developed by Weber and Fechner in the 1800s, who established some fundamental laws governing the relation between sensory stimuli and sensation. Basic concepts in psychophysics include: Sensory thresholds Sensory magnitude Sensory adaptation Psychophysical linking hypotheses Cognitive Neuroscience Methods used to study sensation and perception include: Lesion experiments Clinical cases Single-unit recordings Neuroimaging Direct brain stimulation Basic concepts include: Neural impulses and transduction Hierarchical processing Specific nerve energy Selectivity Univariance Organization Plasticity Noise Computational Neuroscience The foundations of computational neuroscience were laid by three mathematicians: Alan Turing introduced the concept of universal computation Claude Shannon developed Information Theory David Marr introduced the three-level distinction between computational theory, representation, and hardware implementation Basic concepts include: Analog and symbolic representation Computation"
